序号,课程编码,课程名称,课程属性,所属学科/专业,课时/学分,开课周,星期节次,教室,授课方式,考试方式
472.0,121M5006H,博弈论,专业普及课,管理科学与工程,40/2.0,第2-12周,周五(1-2),教1-208,课堂讲授为主,课堂开卷
476.0,122M5006H,技术创新与创业经济学,专业普及课,技术经济及管理,40/2.0,第2-14周,周三(5-6),教1-415,课堂讲授为主,课堂开卷
487.0,12MGB001H-01,科技信息检索与利用实用技巧（化学化工领域）,公共必修课,,27/1.0,第2-12周,周五(2-4),L-145(机房),课堂讲授为主,大开卷
491.0,12MGB001H-05,科技信息检索与利用实用技巧（电子领域）,公共必修课,,27/1.0,第2-12周,周一(2-4),L-145(机房),课堂讲授为主,大开卷
493.0,12MGB001H-07,科技信息检索与利用实用技巧,公共必修课,,27/1.0,第2-13周,周三(5-7),L-145(机房),课堂讲授为主,大开卷
495.0,12MGX001H-09,科技信息检索与利用实用技巧,公共选修课,,27/1.0,第2-12周,周一(2-4),学2-216(机房),课堂讲授为主,大开卷
507.0,12MGX032H,危机管理,公共选修课,,40/1.0,第2-12周,周三(3-4),教1-304,课堂讲授为主,课堂开卷
507.0,12MGX032H,危机管理,公共选修课,,40/1.0,"第2-3,5-12周",周五(3-4),教1-304,课堂讲授为主,课堂开卷
511.0,12MGX045H,虚拟商务,公共选修课,,40/1.0,第3-13周,周三(5-6),教1-324,课堂讲授为主,课堂开卷
512.0,12MGX046H,行为金融学,公共选修课,,40/1.0,第2-13周,周三(5-6),教1-307,课堂讲授为主,大开卷
518.0,12MGX097H,服务管理,公共选修课,,40/1.0,第3-15周,周五(1-2),教1-227,课堂讲授为主,课堂开卷
521.0,12MGX107H,工程经济学,公共选修课,,40/1.0,第3-14周,周三(3-4),教1-307,课堂讲授为主,课堂开卷
521.0,12MGX107H,工程经济学,公共选修课,,40/1.0,第3-14周,周五(3-4),教1-307,课堂讲授为主,课堂开卷
524.0,12MGX119H,大数据管理与应用,公共选修课,,40/1.0,第2-12周,周一(3-4),教1-417,课堂讲授为主,大开卷
524.0,12MGX119H,大数据管理与应用,公共选修课,,40/1.0,第2-12周,周三(3-4),教1-417,课堂讲授为主,大开卷
527.0,12MGX128H,团队合作:理论与案例,公共选修课,,40/1.0,第3-17周,周三(5-7),教1-113,课堂讲授为主,大开卷
532.0,12MGX142H-2,科学数据管理与应用,公共选修课,,30/1.0,第2-13周,周一(2-4),教1-127,课堂讲授为主,课堂开卷
533.0,12MGX143H,专利申请实务,公共选修课,,27/1.0,第2-12周,周五(2-4),学3-257(机房),课堂讲授为主,大开卷
534.0,12MGX147H,能源经济与绿色发展,公共选修课,,30/1.0,第2-13周,周五(2-4),教2-323,课堂讲授为主,课堂开卷
536.0,12MGX149H,数据分析与统计机器学习,公共选修课,,40/1.0,第2-15周,周三(5-7),教2-313,课堂讲授为主,课堂开卷
537.0,12MGX150H,应用统计学基础,公共选修课,,30/1.0,第8-17周,周一(9-11),教1-123,课堂讲授为主,课堂开卷
539.0,131D2004Z,科技管理理论与方法,一级学科普及课,管理科学与工程,36/2.0,第2-13周,周三(5-7),N106,课堂讲授为主,读书报告
543.0,131D2011Z,风险分析与决策,一级学科普及课,管理科学与工程,36/2.0,第2-7周,周五(2-4),N210,授课、讨论,大开卷
547.0,131M1005H,可持续发展理论与实践,一级学科核心课,管理科学与工程,54/3.0,第2-19周,周三(5-7),教1-132,课堂讲授为主,课堂开卷
552.0,131M2011H,科技创新全球化导论,一级学科普及课,管理科学与工程,36/2.0,第2-13周,周三(5-7),学1-106,授课、讨论,读书报告
558.0,133M4003H,科技法学,专业核心课,民商法学,54/3.0,第2-19周,周三(5-7),教1-121,授课、讨论,闭卷笔试
561.0,13MGB001H-01,知识产权,公共必修课,,20/1.0,第2-8周,周日(2-4),教1-101,课堂讲授为主,课堂开卷
562.0,13MGB001H-02,知识产权,公共必修课,,20/1.0,第2-8周,周日(5-7),教1-101,课堂讲授为主,课堂开卷
564.0,13MGB001H-04,知识产权,公共必修课,,20/1.0,第2-11周,周五(1-2),教1-009,课堂讲授为主,课堂开卷
565.0,13MGB001H-05,知识产权,公共必修课,,20/1.0,第2-8周,周五(9-11),教1-002,课堂讲授为主,课堂开卷
566.0,13MGB001H-06,知识产权,公共必修课,,20/1.0,第2-8周,周日(9-11),教1-101,课堂讲授为主,课堂开卷
568.0,13MGX002H,创新与创业管理,公共选修课,,30/1.0,第2-11周,周三(5-7),教1-227,课堂讲授为主,课堂开卷
573.0,13MGX012H,技术合同与案例分析,公共选修课,,30/1.0,第2-13周,周一(9-11),教1-208,课堂讲授为主,课堂开卷
579.0,13MGX068H,社会政策理论与实践,公共选修课,,30/1.0,第2-11周,周三(5-7),教1-217,授课、讨论,读书报告
580.0,13MGX069H,中外政治制度和政府治理比较,公共选修课,,30/1.0,第2-11周,周五(9-11),教1-115,授课、讨论,读书报告
581.0,13MGX074H,创新方法导论,公共选修课,,30/1.0,第2-13周,周一(9-11),教1-225,授课、讨论,大开卷
585.0,141M2004H,伦理学思想流派,一级学科普及课,哲学,40/2.0,第2-16周,周一(2-4),学1-221,课堂讲授为主,课堂开卷
594.0,142M2002H,新闻采访与写作,一级学科普及课,,40/2.0,第2-12周,周三(5-6),学1-121,课堂讲授为主,课堂开卷
600.0,143M2013H,西方科学史研究导论,一级学科普及课,,40/2.0,第2-15周,周三(5-7),学1-006,课堂讲授为主,课堂开卷
603.0,143M4001H,科技考古,专业核心课,科学技术史,40/2.0,第2-15周,周五(2-4),学1-021,课堂讲授为主,课堂开卷
611.0,14MGX012H,美国科学技术史概论,公共选修课,,40/1.0,第3-16周,周三(5-7),教1-305,课堂讲授为主,大开卷
615.0,14MGX020H,先秦思想史,公共选修课,,21/0.5,第3-10周,周五(9-11),教1-114,课堂讲授为主,大开卷
616.0,14MGX025H,科学技术与公共政策,公共选修课,,40/1.0,第2-16周,周一(9-11),教1-304,课堂讲授为主,课堂开卷
618.0,14MGX035H,植物学史,公共选修课,,40/1.0,第2-15周,周三(5-7),教1-209,课堂讲授为主,大开卷
620.0,14MGX041H,科学技术史,公共选修课,,40/1.0,第2-16周,周一(9-11),教1-109,课堂讲授为主,大开卷
626.0,14MGX062H,陶瓷的世界—贸易、文化和技术交流史,公共选修课,,40/1.0,第2-16周,周一(9-11),教1-215,课堂讲授为主,大开卷
646.0,181M1008H,医学微生物学及进展,一级学科核心课,基础医学,50/3.5,第2-20周,周三(5-7),教2-113,课堂讲授为主,课堂开卷
650.0,181M1015H,人类遗传疾病,一级学科核心课,基础医学,50/3.5,第2-20周,周三(5-7),教2-114,课堂讲授为主,课堂开卷
654.0,181M2005H,病毒病与监控,一级学科普及课,基础医学,30/2.5,第2-14周,周五(9-11),教2-118,课堂讲授为主,读书报告
661.0,183M2001H,医学发育生物学,一级学科普及课,生物医学工程,30/2.5,"第3-10,12-16周",周三(5-7),教2-219,课堂讲授为主,课堂开卷
662.0,183M2003H,医学材料学,一级学科普及课,生物医学工程,40/3.0,第2-18周,周五(9-11),教2-123,课堂讲授为主,课堂开卷
664.0,191M4003H,高等数字集成电路分析及设计,专业核心课,集成电路工程,50/3.0,第2-18周,周一(1-3),教1-214,讲课、上机,闭卷笔试
667.0,192M5003H,半导体存储器技术,专业普及课,,30/2.0,第2-16周,周三(5-6),教1-125,课堂讲授为主,读书报告
675.0,201M4010H,网络与系统安全,专业核心课,网络空间安全,60/3.0,第2-20周,周五(9-11),教1-306,课堂讲授为主,闭卷笔试
677.0,201M4012H,软件安全原理,专业核心课,网络空间安全,60/3.0,"第2-4,6-20周",周三(5-7),学2-418,课堂讲授为主,闭卷笔试
678.0,201M4014H,信息安全数学基础,专业核心课,网络空间安全,60/3.0,"第2-4,6-20周",周三(5-7),教1-208,课堂讲授为主,闭卷笔试
679.0,201M5001H,理论密码学,专业普及课,网络空间安全,40/2.0,"第2-4,6-15周",周三(5-7),学2-114,课堂讲授为主,课堂开卷
681.0,201M5006H,密码分析学,专业普及课,网络空间安全,40/2.0,第2-12周,周一(3-4),教1-227,课堂讲授为主,课堂开卷
681.0,201M5006H,密码分析学,专业普及课,网络空间安全,40/2.0,第2-12周,周三(3-4),教1-227,课堂讲授为主,课堂开卷
692.0,201M6009H,密码学中的量子计算基础,专业研讨课,网络空间安全,20/1.0,第3-12周,周五(3-4),教1-225,课堂讲授为主,读书报告
698.0,211M5002H,液态金属微流体学,专业普及课,液态金属物质科学与技术,30/1.5,第2-14周,周五(9-11),教1-313,课堂讲授为主,闭卷笔试
699.0,212M5002H,肿瘤精准治疗的临床实践与未来技术,专业普及课,基因组健康技术,20/1.0,第2-8周,周三(5-7),教1-411,课堂讲授为主,课堂开卷
702.0,213M5001H,硅微机械加工,专业普及课,生物芯片技术,30/1.5,第6-15周,周三(5-7),学2-102,课堂讲授为主,课堂开卷
708.0,216M5002H,神经科学导论,专业普及课,脑科学与智能技术,36/1.5,第2-9周,周日(9-11),学2-116,课堂讲授为主,闭卷笔试
709.0,216M5003H,系统神经科学,专业普及课,脑科学与智能技术,33/1.5,第10-14周,周日(9-11),学2-116,课堂讲授为主,闭卷笔试
711.0,217M5002H,光谱及显微成像基础与前沿,专业普及课,光物质科学与能源技术,30/1.5,第7-14周,周三(3-4),教1-115,课堂讲授为主,课堂开卷
714.0,23DGB002H-02,中国马克思主义与当代,公共必修课,,36/2.0,第12-19周,周一(9-11),教1-002,课堂讲授为主,其它（需说明）
728.0,23DGB002Z-01,中国马克思主义与当代,公共必修课,,36/2.0,第12-19周,周五(1-4),S101,课堂讲授为主,其它（需说明）
731.0,23MGB001H-01,中国特色社会主义理论与实践研究,公共必修课,,36/2.0,第2-11周,周一(9-11),教2-101,课堂讲授为主,其它（需说明）
732.0,23MGB001H-02,中国特色社会主义理论与实践研究,公共必修课,,36/2.0,第2-11周,周一(9-11),教2-201,课堂讲授为主,其它（需说明）
733.0,23MGB001H-03,中国特色社会主义理论与实践研究,公共必修课,,36/2.0,第2-11周,周一(9-11),教1-101,课堂讲授为主,其它（需说明）
747.0,23MGB001H-17,中国特色社会主义理论与实践研究,公共必修课,,36/2.0,第2-11周,周五(1-4),教1-002,课堂讲授为主,其它（需说明）
750.0,23MGB001H-20,中国特色社会主义理论与实践研究,公共必修课,,36/2.0,第2-11周,周五(9-11),教1-101,课堂讲授为主,其它（需说明）
753.0,23MGB001H-23,中国特色社会主义理论与实践研究,公共必修课,,36/2.0,第2-11周,周六(1-4),教1-101,课堂讲授为主,其它（需说明）
754.0,23MGB001H-24,中国特色社会主义理论与实践研究,公共必修课,,36/2.0,第2-11周,周六(5-8),教1-101,课堂讲授为主,其它（需说明）
765.0,241M4001H,认知心理学,专业核心课,基础心理学,60/3.0,第2-12周,周五(2-4),教1-214,课堂讲授为主,闭卷笔试
777.0,251M1006H,现代控制理论,一级学科核心课,控制科学与工程,60/3.0,第19-20周,周三(5-7),教1-109,课堂讲授为主,闭卷笔试
777.0,251M1006H,现代控制理论,一级学科核心课,控制科学与工程,60/3.0,"第2-4,6-20周",周五(9-11),教1-107,课堂讲授为主,闭卷笔试
780.0,251M5009H,智能人机交互,专业普及课,模式识别与智能系统,40/2.0,"第2-4,6-15周",周三(5-7),教1-213,课堂讲授为主,读书报告
782.0,251M5011H,多媒体分析与理解,专业普及课,模式识别与智能系统,40/2.0,"第2-3,6-16周",周一(9-11),教1-127,课堂讲授为主,课堂开卷
784.0,251M5016H,机器人机构学,专业普及课,控制理论与控制工程,40/2.0,第2-20周,周五(3-4),教1-113,课堂讲授为主,闭卷笔试
785.0,251M5017H,机器人系统设计,专业普及课,控制理论与控制工程,40/2.0,"第2-3,6-16周",周一(9-11),教1-227,课堂讲授为主,读书报告
788.0,251M5026H,复杂系统与复杂网络,专业普及课,控制理论与控制工程,40/2.0,第2-20周,周三(3-4),教1-113,课堂讲授为主,闭卷笔试
792.0,251M6019H,嵌入式系统,专业研讨课,控制理论与控制工程,20/1.0,第6-12周,周三(5-7),教1-127,授课、讨论,读书报告
793.0,251M6022H,人工智能哲学与伦理,专业研讨课,模式识别与智能系统,20/1.0,"第3-4,6-13周",周五(1-2),教1-115,课堂讲授为主,读书报告
795.0,261M4002H,纳米材料、结构物理特性,专业核心课,纳米科学与技术,50/3.0,第2-19周,周一(1-3),学3-344,课堂讲授为主,闭卷笔试
797.0,261M4006H,半导体纳米结构物理基础,专业核心课,纳米科学与技术,50/3.0,第2-19周,周五(2-4),教2-221,课堂讲授为主,闭卷笔试
799.0,261M5003H,纳米发电机与自驱动系统概论,专业普及课,纳米科学与技术,50/3.0,第2-18周,周三(5-7),教2-238,课堂讲授为主,闭卷笔试
802.0,261M5008H,纳米生物界面的物理化学,专业普及课,纳米科学与技术,30/2.0,第2-16周,周三(3-4),教1-127,课堂讲授为主,课堂开卷
806.0,27MGX002H,美术研修及应用,公共选修课,,34/1.0,第3-13周,周五(9-11),教2-105,课堂讲授为主,课堂开卷
807.0,27MGX003H,民族器乐理论与实践,公共选修课,,40/1.0,第2-14周,周一(9-11),教1-306,课堂讲授为主,其它（需说明）
810.0,27MGX006H,中国舞蹈基础,公共选修课,,40/1.0,第2-14周,周三(5-7),礼堂,课堂讲授为主,其它（需说明）
812.0,281M1001H,应用光学,一级学科核心课,光学工程,50/3.0,第2-19周,周五(9-11),教1-208,课堂讲授为主,闭卷笔试
817.0,281M2004H,光电技术实验,一级学科普及课,光学工程,40/1.0,第10周,周日(5-7),学2-114,课堂讲授为主,读书报告
818.0,281M2005H,光学传感实验I,一级学科普及课,,60/1.5,第2周,周日(5-7),学2-114,讲课、实验,读书报告
820.0,281M5007H,高等光学实验,专业普及课,光学工程,40/1.0,第6周,周日(5-7),学2-114,课堂讲授为主,读书报告
821.0,283M1001H,精密仪器设计,一级学科核心课,仪器科学与技术,54/3.0,第2-20周,周六(2-4),教1-113,课堂讲授为主,闭卷笔试
822.0,283M4001H,传感器与信息测试技术,专业核心课,仪器科学与技术,50/3.0,第2-20周,周六(5-7),教1-109,课堂讲授为主,闭卷笔试
823.0,283M4004H,精密时间的产生与测量,专业核心课,仪器科学与技术,60/3.0,第3-15周,周三(5-7),学1-221,课堂讲授为主,闭卷笔试
826.0,291M1003H,粒子加速器技术I,一级学科核心课,,50/3.0,第2-18周,周三(5-7),学3-142,课堂讲授为主,闭卷笔试
827.0,291M1004H,核物理实验方法,一级学科核心课,核科学与技术,64/4.0,第2-17周,周五(3-4),教2-118,课堂讲授为主,闭卷笔试
835.0,291M2007H,中子物理,一级学科普及课,,50/3.0,第2-14周,周一(3-4),教2-218,课堂讲授为主,课堂开卷
835.0,291M2007H,中子物理,一级学科普及课,,50/3.0,第2-14周,周六(3-4),教2-218,课堂讲授为主,课堂开卷
842.0,301M4005H,生物过程工程,专业核心课,生物化工,50/3.0,第2-20周,周三(5-7),教2-225,课堂讲授为主,闭卷笔试
843.0,301M4009H,工业催化原理,专业核心课,工业催化,50/3.0,第2-16周,周五(3-4),教2-104,课堂讲授为主,闭卷笔试
844.0,301M4011H,化工数学模型与方法,专业核心课,化学工程,50/3.0,第2-20周,周三(5-7),教2-223,课堂讲授为主,闭卷笔试
849.0,311M4302H	,高等土壤化学,专业核心课,土壤学,56/3.0,"第2-4,6-14周",周五(1-2),教2-319,课堂讲授为主,闭卷笔试
851.0,311M4304H	,环境土壤学,专业核心课,土壤学,60/4.0,"第2-4,6-12周",周三(5-7),教2-338,课堂讲授为主,闭卷笔试
856.0,312M2203H,代谢调控：细胞、生理与进化,一级学科普及课,作物学,30/2.0,第6-15周,周三(5-7),教2-107,课堂讲授为主,读书报告
858.0,312M5212H,高级微生物组学	,专业普及课,作物遗传育种学,50/3.0,"第2-4,6-15周",周五(1-2),教2-223,课堂讲授为主,课堂开卷
860.0,312M6216H,作物栽培新技术理论与实践研讨	,专业研讨课,作物遗传育种学,20/2.0,"第2-4,6-12周",周五(3-4),教2-336,授课、讨论,读书报告
865.0,315M4401H,水产生物遗传育种学	,专业核心课,水产养殖,60/4.0,第4周,周五(1-2),教2-113,课堂讲授为主,闭卷笔试
868.0,315M4414H	,渔业资源管理与保护生物学	,专业核心课,渔业资源,60/4.0,"第2-3,6-17,19周",周一(9-10),教2-314,课堂讲授为主,闭卷笔试
868.0,315M4414H	,渔业资源管理与保护生物学	,专业核心课,渔业资源,60/4.0,"第2-4,6-17周",周三(3-4),教2-314,课堂讲授为主,闭卷笔试
871.0,315M5404H	,鱼类分子遗传与基因工程育种	,专业普及课,水产养殖,40/2.0,"第3-4,6-13周",周三(3-4),教2-113,课堂讲授为主,闭卷笔试
873.0,315M5406H	,水产生物发育生物学	,专业普及课,水产养殖,40/2.0,"第3-4,6-13周",周三(5-6),教2-413,课堂讲授为主,闭卷笔试
878.0,315M5419H	,饵料生物学	,专业普及课,渔业资源,40/2.0,"第2-4,6-16周",周三(5-7),教2-314,课堂讲授为主,闭卷笔试
881.0,315M6409H	,水产动物基因组学	,专业研讨课,水产养殖,30/2.0,"第2-4,6-12周",周五(9-11),教2-114,授课、讨论,闭卷笔试
886.0,315M6422H	,特色海水养殖学 	,专业研讨课,渔业资源,30/2.0,"第2-4,6-12周",周五(9-11),教2-113,授课、讨论,闭卷笔试
895.0,321M5008H,卫星海洋遥感与应用,专业普及课,物理海洋学,36/2.0,第2-14周,周五(1-3),教2-327,课堂讲授为主,闭卷笔试
901.0,TYMGX001H-03,吴氏太极拳,公共选修课,,32/0.5,第3-18周,周三(5-6),东区操房1,其它（需说明）,其它（需说明）
905.0,TYMGX002H-01,软式排球普修（男女混班）,公共选修课,,32/0.5,第3-18周,周一(3-4),西区羽毛球馆1,其它（需说明）,其它（需说明）
915.0,TYMGX005H-05,男子健身,公共选修课,,32/0.5,第3-18周,周三(3-4),西区健身中心1,其它（需说明）,其它（需说明）
918.0,TYMGX006H-03,男子健身健美,公共选修课,,30/0.5,第3-17周,周五(1-2),西区健身中心1,其它（需说明）,其它（需说明）
919.0,TYMGX006H-04,男子健身健美,公共选修课,,30/0.5,第3-18周,周五(3-4),西区健身中心1,其它（需说明）,其它（需说明）
922.0,TYMGX008H,网球,公共选修课,,32/0.5,第3-18周,周三(5-6),西区室外网球场,其它（需说明）,其它（需说明）
925.0,TYMGX010H-02,羽毛球（男女混班）,公共选修课,,32/0.5,第8-18周,周三(3-4),体育馆,其它（需说明）,其它（需说明）
926.0,TYMGX010H-03,羽毛球（男女混班）,公共选修课,,32/0.5,第8-18周,周三(5-6),体育馆,其它（需说明）,其它（需说明）
934.0,TYMGX011H-04,乒乓球（男女混班）,公共选修课,,32/0.5,第8-18周,周五(1-2),体育馆,其它（需说明）,其它（需说明）
935.0,TYMGX011H-05,乒乓球（男女混班）,公共选修课,,32/0.5,第8-18周,周五(3-4),体育馆,其它（需说明）,其它（需说明）
938.0,TYMGX013H-01,瑜伽（男女混班）,公共选修课,,32/0.5,第8-18周,周一(1-2),体育馆,其它（需说明）,其它（需说明）
939.0,TYMGX013H-02,瑜伽（男女混班）,公共选修课,,32/0.5,第8-18周,周一(3-4),体育馆,其它（需说明）,其它（需说明）
942.0,TYMGX013H-05,瑜伽（男女混班）,公共选修课,,32/0.5,第3-18周,周三(3-4),西区羽毛球馆1,其它（需说明）,其它（需说明）
944.0,TYMGX015H,女子自由泳,公共选修课,,32/0.5,第2-14周,周一(1-2),游泳馆,其它（需说明）,其它（需说明）
947.0,TYMGX017H-01,女子蛙泳,公共选修课,,32/0.5,第3-18周,周一(3-4),游泳馆,其它（需说明）,其它（需说明）
